true,pred,std,residual
0.37402984,0.26106596,0.062014062,0.112963885
-0.5749499,-0.37198827,0.0924394,-0.20296165
0.3691556,0.2322795,0.06488861,0.13687609
0.15688045,0.13551416,0.06431294,0.021366298
0.11916557,-0.0064406223,0.07629438,0.1256062
-3.0610628,-3.452919,0.33439976,0.3918562
1.2654825,1.1382511,0.13047343,0.12723148
0.22332063,0.25551447,0.09276181,-0.03219384
1.1558897,1.4072386,0.15290195,-0.25134885
0.4145527,0.22343756,0.20316601,0.19111513
1.9661477,1.7846,0.18695557,0.18154764
0.12983039,0.20240231,0.085461,-0.07257192
-0.1499657,-0.22085696,0.07639403,0.07089126
-0.029559089,0.14950539,0.07533163,-0.17906448
0.8163013,0.74887735,0.091768585,0.06742394
0.5303479,0.63704425,0.07857342,-0.10669637
0.3000848,0.2980656,0.08606469,0.0020191967
0.07020937,0.004620467,0.077519,0.0655889
-0.022637505,-0.083000824,0.05663127,0.06036332
0.39903536,0.5034393,0.07396423,-0.10440394
-0.16435538,-0.14154908,0.11805714,-0.022806302
0.40928054,0.25353664,0.067315154,0.1557439
-0.6169214,-0.38759807,0.100582585,-0.22932336
0.2813041,0.3009187,0.12442248,-0.019614607
0.15972811,-1.2530324,0.2418086,1.4127605
1.2855978,1.2433692,0.1538847,0.04222858
0.5682333,-0.034282967,0.14377958,0.6025163
1.26612,1.2754921,0.12687476,-0.009372115
-0.37819076,0.12569222,0.090744436,-0.503883
0.8826295,0.9550222,0.1141299,-0.0723927
-0.17356765,-0.006325045,0.063853145,-0.1672426
-0.36187318,-0.24245651,0.09177153,-0.11941667
-0.5526718,-0.32487333,0.19103336,-0.22779846
0.7136909,0.64689684,0.08710111,0.06679404
0.17529152,0.17497526,0.08786748,0.00031626225
0.62393636,0.44695818,0.07547915,0.17697817
-0.8574776,-0.91541463,0.12336185,0.057937026
0.4573796,0.9096186,0.11605373,-0.452239
0.447582,0.46400544,0.07425478,-0.016423434
-0.06460875,0.015652884,0.06655047,-0.08026163
0.07016796,0.14238916,0.11437065,-0.072221205
0.5303437,0.4919339,0.08078918,0.0384098
-0.56709754,-0.88762265,0.16692385,0.3205251
2.8495767,2.6807582,0.29633352,0.16881847
-0.40484554,-0.4299801,0.0918877,0.025134563
0.2177463,0.15654641,0.05103819,0.06119989
1.1666021,0.98002857,0.13389787,0.18657357
-0.052920572,-0.25590587,0.15378974,0.20298529
0.30371884,0.16550623,0.08331579,0.1382126
0.61980665,0.47909546,0.06590358,0.14071119
